0.000015811	 100
0.001879193	 1100
0.006273403	 2100
0.018060914	 3100
0.022614559	 4100
0.034966458	 5100
0.050021474	 6100
0.061454474	 7100
0.088095954	 8100
0.104334419	 9100
0.136872469	 10100
0.165335270	 11100
0.196249411	 12100
0.229969878	 13100
0.266217679	 14100
0.305441968	 15100
0.347078288	 16100
0.391357315	 17100
0.438475171	 18100
0.446813959	 19100
0.541252235	 20100
0.596043511	 21100
0.646135051	 22100
0.687095655	 23100
0.720184439	 24100
0.759346024	 25100
0.800789109	 26100
0.874697856	 27100
1.018418667	 28100
1.185651859	 29100
1.488563965	 30100
1.718297461	 31100
1.829484381	 32100
1.577527695	 33100
1.702547711	 34100
1.811397817	 35100
1.941742977	 36100
2.014297855	 37100
2.141708579	 38100
2.489668536	 39100
2.442882598	 40100


0.000027237	 100
0.001773116	 1100
0.007734752	 2100
0.015346212	 3100
0.022204556	 4100
0.034065017	 5100
0.048871041	 6100
0.065975704	 7100
0.085826413	 8100
0.107928591	 9100
0.134068155	 10100
0.160409315	 11100
0.182177474	 12100
0.223155869	 13100
0.258102324	 14100
0.296078181	 15100
0.339336394	 16100
0.379624912	 17100
0.423973180	 18100
0.471995576	 19100
0.524249400	 20100
0.581041355	 21100
0.636072956	 22100
0.692861030	 23100
0.724587660	 24100
0.736308562	 25100
0.868728734	 26100
0.996719256	 27100
1.013240693	 28100
1.056544211	 29100
1.162493881	 30100
1.214402168	 31100
1.333905876	 32100
1.441320720	 33100
1.489714599	 34100
1.602463089	 35100
1.693934576	 36100
1.821945610	 37100
1.875351897	 38100
2.011256797	 39100
2.129995558	 40100


0.000057145	 100
0.001824793	 1100
0.005817497	 2100
0.012699829	 3100
0.021997269	 4100
0.034133212	 5100
0.048973197	 6100
0.065724672	 7100
0.085475901	 8100
0.108091294	 9100
0.133128944	 10100
0.161296208	 11100
0.191172891	 12100
0.223529230	 13100
0.260389731	 14100
0.295601649	 15100
0.335892989	 16100
0.384217603	 17100
0.402520712	 18100
0.472286303	 19100
0.523599305	 20100
0.581630811	 21100
0.636760114	 22100
0.692795773	 23100
0.762895373	 24100
0.809708085	 25100
0.854359424	 26100
0.901280293	 27100
0.934025224	 28100
0.993491931	 29100
1.050176944	 30100
1.102764331	 31100
1.149335267	 32100
1.229229910	 33100
1.299052210	 34100
1.389365932	 35100
1.503539042	 36100
1.567647443	 37100
1.655399996	 38100
1.761609554	 39100
1.870456341	 40100


0.000090346	 100
0.002185515	 1100
0.007578766	 2100
0.013925462	 3100
0.022010948	 4100
0.033966708	 5100
0.048549175	 6100
0.065443182	 7100
0.085273043	 8100
0.108083257	 9100
0.133566967	 10100
0.160924704	 11100
0.191298905	 12100
0.225422827	 13100
0.259793215	 14100
0.300223741	 15100
0.337091400	 16100
0.361964961	 17100
0.426328809	 18100
0.443585996	 19100
0.523875920	 20100
0.578031034	 21100
0.635784881	 22100
0.693425296	 23100
0.758307336	 24100
0.726410806	 25100
0.850412700	 26100
0.886947518	 27100
0.946199325	 28100
0.984327467	 29100
1.045483799	 30100
1.104198524	 31100
1.322728892	 32100
1.223279449	 33100
1.296566372	 34100
1.382553978	 35100
1.464353633	 36100
1.538653749	 37100
1.630875594	 38100
1.716935292	 39100
1.794478700	 40100
